dataset,sex,tree,morph,covariate,lambda,residual_df,df_morph,F_morph,p_morph,df_covariate,F_covariate,p_covariate,df_morphxcovariate,F_morphxcovariate,p_morphxcovariate,adj.r2
mean,female,full,HL,diet,1,91,1,160.88608875561582,7.898759286023158e-22,2,23.39809256443027,6.325443892556467e-9,2,0.7434206476336304,0.478349970526996,0.6801802878936614
mean,male,full,HL,diet,1,110,1,406.17454605036005,1.0093462692684351e-38,2,11.679213947747163,2.5146178318313125e-5,2,0.9788557830735347,0.3789893253686902,0.7876233089932787
mean,all,full,HH,arboreal,0.5688085466827583,132,1,664.6750412878013,2.2534331508213423e-53,1,7.790192289149917,0.006032729781316123,1,0.7938135654943167,0.37457057709597186,0.8323520853580434
mean,female,full,HH,arboreal,0.9466621579854382,93,1,250.85585533124475,3.7694818968295396e-28,1,2.8416609831462463,0.09520173913149094,1,0.05562131391415978,0.8140740973388675,0.7231459802884171
mean,male,full,HH,arboreal,1e-6,111,1,764.8302608003773,1.3130768505059066e-51,1,12.468956156195931,6.037519963806474e-4,1,0.07219764537749236,0.7886622426313028,0.871675294672691
mean,all,full,HL,arboreal,0.9567281350850648,132,1,332.3686666099403,7.196173169074877e-38,1,10.025320761316511,0.0019178510397152796,1,0.49651216727875025,0.48227804996547485,0.7157239402953244
mean,female,full,HL,arboreal,0.9553709257409639,94,1,156.00441461623174,1.1153456090795857e-21,1,4.636727329538585,0.03385359261746052,1,1.3446149654686312,0.24915873096030638,0.6210726675951975
mean,male,full,HL,arboreal,0.9596503925835925,113,1,304.71560812084385,7.256309320743501e-34,1,10.05448651139149,0.001956578511739357,1,0.6409160998946475,0.42505923415812563,0.7292319826193014
mean,all,full,HH,fossorial,1e-6,132,1,891.8687577750346,1.419319276963647e-60,1,19.904857504134384,1.725587778174307e-5,1,0.22029992614079763,0.6395858457963473,0.8706889015024085
mean,all,full,HL,fossorial,0.868832882530971,132,1,369.37175293837157,4.5014920337676354e-40,1,14.565632339072184,2.0717695005002877e-4,1,0.8606374749556407,0.3552535737319773,0.7387760903553626
mean,all,full,HH,taxonomy,0.1,124,1,736.7219401033367,5.226384385150572e-54,4,1.4124234513095248,0.2337323407360683,4,0.7369916813004288,0.5684525137607888,0.8470067856481822
mean,female,full,HH,taxonomy,0.854507231333538,85,1,258.1225085353958,1.737196655697884e-27,4,0.22704534571499604,0.9225552504037493,4,2.0469045202697065,0.09502101227845941,0.7331200625715981
mean,male,full,HH,taxonomy,0.1,103,1,587.7878243389323,2.31032933490057e-44,4,0.18851312837361162,0.9439156784913438,4,0.49060477747349124,0.7426173030463878,0.838501360911418
mean,all,full,HL,taxonomy,1,124,1,408.0208268611918,4.960261796929938e-41,4,0.29755155872624994,0.879079356095431,4,6.178571640470837,1.4437520473083726e-4,0.7616168413336541
mean,female,full,HL,taxonomy,1,86,1,164.2601050330271,1.1882404337176924e-21,4,0.31662754636103735,0.8661428447983194,4,13.817479359800169,9.600224421848787e-9,0.6903485212917893
mean,male,full,HL,taxonomy,1,105,1,398.81424674892793,1.524891374797954e-37,4,0.31229230352865245,0.8692046563871503,4,6.437099350590342,1.1326569009015582e-4,0.7852346215182595
