BinomialReptileDatabase,Sex,Family,HigherTaxonomy,tips,SSM,SSBF,max_bf,max_bm,max_svl,max_hl,max_hw,max_hh,max_ljl
Podarcis muralis,Male,Lacertidae,Lacertoidea,Podarcis_muralis,30,30,13.64,8.75,71,19,9,NA,NA
Tarentola mauritanica,Male,Phyllodactylidae,Gekkota,Tarentola_mauritanica,12,12,5.48,NA,77.13,21.93,18.6,10.16,NA
Ablepharus kitaibelii,Male,Scincidae,Scincoidea,Ablepharus_kitaibelii,6,6,0.55,1.1300000000000001,43.77,7.1499999999999995,4.03,2.89,6.710000000000001
Anolis lineatopus,Male,Dactyloidae,Iguania,Anolis_lineatopus,58,58,4.82,4.26,57.47,17.919999999999998,9.49,7.17,18.400000000000002
Gallotia atlantica,Male,Lacertidae,Lacertoidea,Gallotia_atlantica,20,20,35.6,26.9,97.1,22.9,15.3,10.899999999999999,25.599999999999998
Gallotia bravoana,Male,Lacertidae,Lacertoidea,Gallotia_bravoana,14,14,144,232.2,191.7,48,32.9,24.799999999999997,50.400000000000006
Gallotia caesaris,Male,Lacertidae,Lacertoidea,Gallotia_caesaris,7,7,54.8,35.300000000000004,105.7,27.7,17.9,13.700000000000001,39.8
Gallotia simonyi,Male,Lacertidae,Lacertoidea,Gallotia_simonyi,11,11,166.3,527.3,247.8,60,43.800000000000004,32.8,64.7
Gallotia stehlini,Male,Lacertidae,Lacertoidea,Gallotia_stehlini,16,16,147.7,334.7,211.6,56.1,37.800000000000004,29.3,59.4
Zootoca vivipara,Male,Lacertidae,Lacertoidea,Zootoca_vivipara,20,20,2.5,3.58,52.78,11.48,7.15,5.8,11.76
Sphenodon punctatus,Male,Sphenodontidae,Sphenodontia,Sphenodon_punctatus,74,74,219.8,607.4,258.2,67.3,51.2,37.699999999999996,72.5
Anolis heterodermus,Male,Dactyloidae,Iguania,Anolis_heterodermus,6,6,21.65,NA,75.33,22.43,11.4,10.21,21.66
Anolis allisoni,Male,Dactyloidae,Iguania,Anolis_allisoni,9,9,7.390000000000001,NA,71.99000000000001,25.810000000000002,15.799999999999999,8.85,24.67
Anolis angusticeps,Male,Dactyloidae,Iguania,Anolis_angusticeps,57,57,3.4400000000000004,NA,44.769999999999996,14.61,7.32,5.720000000000001,14.950000000000001
Anolis auratus,Male,Dactyloidae,Iguania,Anolis_auratus,23,23,2.63,NA,45.720000000000006,12.309999999999999,6.22,5.0600000000000005,12.180000000000001
Anolis bahorucoensis,Male,Dactyloidae,Iguania,Anolis_bahorucoensis,30,30,3.96,NA,40.129999999999995,14.35,7.459999999999999,6.279999999999999,14.66
Anolis baracoae,Male,Dactyloidae,Iguania,Anolis_baracoae,2,2,25.139999999999997,NA,124.05,42.71,14.82,18.43,42.739999999999995
Anolis barahonae,Male,Dactyloidae,Iguania,Anolis_barahonae,32,32,50.88999999999999,NA,149.2,45.96,26.96,24.17,46.97
Anolis brevirostris,Male,Dactyloidae,Iguania,Anolis_brevirostris,64,64,5.43,NA,45.77,14.56,9.23,7.01,14.25
Anolis brunneus,Male,Dactyloidae,Iguania,Anolis_brunneus,53,53,6.15,NA,62.809999999999995,20.65,10.27,7.76,22.04
Anolis chloris,Male,Dactyloidae,Iguania,Anolis_chloris,4,4,7.04,NA,60.669999999999995,17.23,8.97,7.0600000000000005,17.04
Anolis coelestinus,Male,Dactyloidae,Iguania,Anolis_coelestinus,70,70,11.379999999999999,NA,62.76,20.12,11.33,9.040000000000001,20.57
Anolis cuvieri,Male,Dactyloidae,Iguania,Anolis_cuvieri,10,10,73.78999999999999,NA,132.88000000000002,43.709999999999994,22.95,20.12,42.739999999999995
Anolis cybotes,Male,Dactyloidae,Iguania,Anolis_cybotes,61,61,13.53,NA,58.74,21.15,12.98,10.81,20.7
Anolis distichus,Male,Dactyloidae,Iguania,Anolis_distichus,83,83,4.14,NA,50.11,14.2,9.52,6.8,14.59
Anolis equestris,Male,Dactyloidae,Iguania,Anolis_equestris,10,10,88.42,NA,173.26999999999998,53.14,32.01,23.19,53.79
Anolis evermanni,Male,Dactyloidae,Iguania,Anolis_evermanni,60,60,4.2,NA,56.1,17.34,10.45,8.04,18.1
Anolis frenatus,Male,Dactyloidae,Iguania,Anolis_frenatus,2,2,42.81,NA,140.98000000000002,35.3,20.169999999999998,16.56,36.89
Anolis garmani,Male,Dactyloidae,Iguania,Anolis_garmani,23,23,13.88,NA,92.55,27.62,15.799999999999999,13.1,28.86
Anolis grahami,Male,Dactyloidae,Iguania,Anolis_grahami,23,23,6.27,NA,59.95,18.85,11.1,8.36,19.69
Anolis gundlachi,Male,Dactyloidae,Iguania,Anolis_gundlachi,28,28,8.47,NA,67.26,20.94,11.24,9.45,21.060000000000002
Anolis humilis,Male,Dactyloidae,Iguania,Anolis_humilis,30,30,2.24,NA,34.629999999999995,10.41,5.87,4.59,10.33
Anolis krugi,Male,Dactyloidae,Iguania,Anolis_krugi,39,39,3.77,NA,40.1,14.05,7.96,7.09,14.05
Anolis limifrons,Male,Dactyloidae,Iguania,Anolis_limifrons,26,26,1.74,NA,43.29,11.14,5.8100000000000005,4.510000000000001,10.82
Anolis olssoni,Male,Dactyloidae,Iguania,Anolis_olssoni,29,29,3.9799999999999995,NA,44.72,13.350000000000001,6.9399999999999995,6.23,14.33
Anolis pulchellus,Male,Dactyloidae,Iguania,Anolis_pulchellus,39,39,3.88,NA,42.79,14.33,7.37,6.54,14.64
Anolis sheplani,Male,Dactyloidae,Iguania,Anolis_sheplani,9,9,2.34,NA,39.97,12.290000000000001,5.640000000000001,5.57,12.530000000000001
Anolis singularis,Male,Dactyloidae,Iguania,Anolis_singularis,16,16,4.42,NA,40,13.4,7.88,6.4,14
Anolis smaragdinus,Male,Dactyloidae,Iguania,Anolis_smaragdinus,54,54,4.43,NA,54.82,17.700000000000003,9.440000000000001,6.87,18.5
Anolis stratulus,Male,Dactyloidae,Iguania,Anolis_stratulus,38,38,2.99,NA,45.72,14.850000000000001,8.83,6.6,14.850000000000001
Anolis valencienni,Male,Dactyloidae,Iguania,Anolis_valencienni,23,23,9.8,NA,72.19,21.810000000000002,10.54,8.959999999999999,21.95
Bradypodion melanocephalum,Male,Chamaeleonidae,Iguania,Bradypodion_melanocephalum,25,23,13.479999999999999,NA,50.02,12.4,8.02,13.870000000000001,12.39
Bradypodion thamnobates,Male,Chamaeleonidae,Iguania,Bradypodion_thamnobates,20,20,41.46,NA,63.27,17.03,12.91,10.96,17.580000000000002
Karusasaurus polyzonus,Male,Cordylidae,Scincoidea,Karusasaurus_polyzonus,16,16,46.82,NA,108.34,27.6,23.689999999999998,13.950000000000001,28.29
Dalmatolacerta oxycephala,Male,Lacertidae,Lacertoidea,Dalmatolacerta_oxycephala,34,34,7.9,NA,61.4,16.1,9.1,6.7,16.2
Ouroborus cataphractus,Male,Cordylidae,Scincoidea,Ouroborus_cataphractus,19,19,71.35,NA,111.05,30.75,29.56,14.9,30.05
Podarcis siculus,Male,Lacertidae,Lacertoidea,Podarcis_siculus,NA,NA,13.67,7.8,72.4,17.099999999999998,9.55,7.779999999999999,18.169999999999998
Xenosaurus grandis,Male,Xenosauridae,Anguimorpha,Xenosaurus_grandis,11,11,24.060000000000002,NA,117.29,28.77,23.27,13.76,30.75
Xenosaurus newmanorum,Male,Xenosauridae,Anguimorpha,Xenosaurus_newmanorum,7,7,25.669999999999998,NA,112.55,29.669999999999998,22.58,14.030000000000001,31.87
Xenosaurus platyceps,Male,Xenosauridae,Anguimorpha,Xenosaurus_platyceps,10,10,16.79,NA,105.88000000000001,26.6,23.82,12.43,29.490000000000002
Acanthodactylus pardalis,Male,Lacertidae,Lacertoidea,Acanthodactylus_pardalis,5,5,5.6000000000000005,NA,60.8,14.8,9.9,8.5,NA
Callisaurus draconoides,Male,Phrynosomatidae,Iguania,Callisaurus_draconoides,12,12,6.25,NA,91.22,16.59,13.43,9.280000000000001,NA
Aspidoscelis tigris,Male,Teiidae,Lacertoidea,Aspidoscelis_tigris,5,5,11.07,NA,87.15,21.04,12.03,10.02,NA
Smaug mossambicus,Male,Cordylidae,Scincoidea,Smaug_mossambicus,5,5,20.189999999999998,NA,112.2,30.849999999999998,25.27,14.37,NA
Corucia zebrata,Male,Scincidae,Scincoidea,Corucia_zebrata,2,2,276,NA,282.07,55.13,51.25,39.04,NA
Dipsosaurus dorsalis,Male,Iguanidae,Iguania,Dipsosaurus_dorsalis,10,10,21.2,NA,131.44,22.98,20.459999999999997,15.04,NA
Eulamprus heatwolei,Male,Scincidae,Scincoidea,Eulamprus_heatwolei,3,3,18.36,NA,119.87,21.8,14.53,11.47,NA
Gallotia galloti,Male,Lacertidae,Lacertoidea,Gallotia_galloti,56,16,148.78,NA,110.76,29.34,19.79,16,NA
Archaeolacerta bedriagae,Male,Lacertidae,Lacertoidea,Archaeolacerta_bedriagae,14,14,11,NA,77.2,21.2,12.700000000000001,8.1,NA
Lacerta bilineata,Male,Lacertidae,Lacertoidea,Lacerta_bilineata,2,2,23.5,NA,92.9,25.9,16.1,12.100000000000001,NA
Latastia longicaudata,Male,Lacertidae,Lacertoidea,Latastia_longicaudata,3,3,9,NA,95.80000000000001,21.7,11.7,10,NA
Stellagama stellio,Male,Agamidae,Iguania,Stellagama_stellio,4,4,27.240000000000002,NA,103.07000000000001,24.43,24.26,13.68,NA
Podarcis liolepis,Male,Lacertidae,Lacertoidea,Podarcis_liolepis,6,6,9.2,NA,65.10000000000001,16.4,9.4,7.7,NA
Podarcis hispanicus,Male,Lacertidae,Lacertoidea,Podarcis_hispanicus,10,10,5.4,NA,59.5,15.3,9,6.5,NA
Podarcis lilfordi,Male,Lacertidae,Lacertoidea,Podarcis_lilfordi,8,8,11.520000000000001,NA,64.64999999999999,17.78,10.47,8.54,NA
Podarcis tiliguerta,Male,Lacertidae,Lacertoidea,Podarcis_tiliguerta,18,18,5,NA,60,15.9,8.9,6.9,NA
Pogona vitticeps,Male,Agamidae,Iguania,Pogona_vitticeps,8,8,130.71,NA,246.51,41.1,54.64,32.769999999999996,NA
Psammodromus algirus,Male,Lacertidae,Lacertoidea,Psammodromus_algirus,9,9,13.17,NA,78.17,19.12,12.33,9.309999999999999,NA
Sceloporus undulatus,Male,Phrynosomatidae,Iguania,Sceloporus_undulatus,16,16,6.109999999999999,NA,63.99,13.91,11.709999999999999,7.9,NA
Tiliqua rugosa,Male,Scincidae,Scincoidea,Tiliqua_rugosa,13,13,191.75,NA,299.51,48.98,55.44,35.75,NA
Uromastix acanthinura,Male,Agamidae,Iguania,Uromastix_acanthinura,4,4,92.13,NA,185.57,36.7,37.269999999999996,21.369999999999997,NA
Varanus exanthematicus,Male,Varanidae,Anguimorpha,Varanus_exanthematicus,7,7,107.61,NA,262.28000000000003,52.66,36.65,26.93,NA
Salvator merianae,Male,Teiidae,Lacertoidea,Salvator_merianae,10,10,534.24,NA,425,99.65,NA,NA,NA
Gallotia intermedia,Male,Lacertidae,Lacertoidea,Gallotia_intermedia,1,1,121.9,123,154.8,42.3,28.4,20.3,34.6
Gekko gecko,Male,Gekkonidae,Gekkota,Gekko_gecko,5,5,29.1,35.400000000000006,127.4,NA,NA,NA,NA
Anolis carolinensis,Male,Dactyloidae,Iguania,Anolis_carolinensis,56,56,12.598826466212717,NA,67.51065627318681,NA,NA,NA,NA
Anolis sagrei,Male,Dactyloidae,Iguania,Anolis_sagrei,27,27,10.23,NA,63.980000000000004,17.79,NA,NA,NA
Acanthodactylus aureus,Male,Lacertidae,Lacertoidea,Acanthodactylus_aureus,3,3,5.83,NA,72.35,18.73,11.17,9.16,NA
Acanthodactylus erythrurus,Male,Lacertidae,Lacertoidea,Acanthodactylus_erythrurus,7,7,9.7,NA,72.5,17.75,11.65,9.27,NA
Iberolacerta monticola,Male,Lacertidae,Lacertoidea,Iberolacerta_monticola,6,6,12.91,NA,73.28,17.96,11.18,7.89,NA
Lacerta schreiberi,Male,Lacertidae,Lacertoidea,Lacerta_schreiberi,7,7,34.23,NA,95.57,24.58,17.01,13.22,NA
Podarcis peloponnesiacus,Male,Lacertidae,Lacertoidea,Podarcis_peloponnesiacus,9,9,13.45,NA,75.5,19.66,11.83,9.67,NA
Psammodromus hispanicus,Male,Lacertidae,Lacertoidea,Psammodromus_hispanicus,6,6,2.26,NA,41.1,10.72,6.56,5.24,NA
Takydromus sexlineatus,Male,Lacertidae,Lacertoidea,Takydromus_sexlineatus,9,9,0.56,NA,54.45,13.73,6.24,5.43,NA
Tupinambis teguixin,Male,Teiidae,Lacertoidea,Tupinambis_teguixin,3,3,105,NA,321.37,NA,NA,NA,NA
Bradypodion caeruleogula,Male,Chamaeleonidae,Iguania,Bradypodion_caeruleogula,6,6,10.82,NA,52.629999999999995,NA,NA,NA,NA
Bradypodion caffer,Male,Chamaeleonidae,Iguania,Bradypodion_caffer,6,6,22.509999999999998,NA,63.32,NA,NA,NA,NA
Bradypodion damaranum,Male,Chamaeleonidae,Iguania,Bradypodion_damaranum,19,19,31.240000000000002,NA,74.67999999999999,NA,NA,NA,NA
Bradypodion kentanicum,Male,Chamaeleonidae,Iguania,Bradypodion_kentanicum,11,11,11.84,NA,56.370000000000005,NA,NA,NA,NA
Bradypodion nemorale,Male,Chamaeleonidae,Iguania,Bradypodion_nemorale,4,4,13.719999999999999,NA,59.940000000000005,NA,NA,NA,NA
Bradypodion pumilum,Male,Chamaeleonidae,Iguania,Bradypodion_pumilum,27,27,23.57,NA,75.21000000000001,NA,NA,NA,NA
Bradypodion setaroi,Male,Chamaeleonidae,Iguania,Bradypodion_setaroi,7,7,13.24,NA,54.190000000000005,NA,NA,NA,NA
Bradypodion taeniabronchum,Male,Chamaeleonidae,Iguania,Bradypodion_taeniabronchum,21,32,5.13,NA,54.870000000000005,NA,NA,NA,NA
Bradypodion transvaalense,Male,Chamaeleonidae,Iguania,Bradypodion_transvaalense,12,12,22.759999999999998,NA,70.5,NA,NA,NA,NA
Bradypodion ventrale,Male,Chamaeleonidae,Iguania,Bradypodion_ventrale,8,8,13.280000000000001,NA,73.44,NA,NA,NA,NA
Bradypodion occidentale,Male,Chamaeleonidae,Iguania,Bradypodion_occidentale,1,1,21.71,NA,71.98,NA,NA,NA,NA
